Title,Employer Name,Experience,Salary,Location,Skills Required,Posted Date
Auditor MFI & Accounts,Zeakus service llp,2 to 6 Yrs,,Kochi,"['Accounting Auditing', ' Financial transactions', ' Analytical skills', ' Communication skills', 'NBFCs', ' MFIs']",posted 2 months ago
Customer Service (Blended process),Snow Planners And Builders,0 to 3 Yrs,,Maharashtra,"['Customer Support Sales', ' Technical Assistance', ' Relationship Management', 'Good Communication skill in English']",posted 2 months ago
Creative Visualizer Intern,Scaling Structures,0 to 4 Yrs,,Thane,"['Design Storytelling', ' Brand development', ' Social media', ' Adobe Creative Suite', ' Photoshop', ' Illustrator', ' InDesign', '']",posted 2 months ago
Import Documentation Executive,Live Connections,1 to 5 Yrs,,Chennai,"['Import Documentation MS Office', ' Excel', 'Bill of Entry', ' HS Code Classifications', ' INCOTERMS', ' Customs Procedures']",posted 2 months ago
Sales Engineer,Rishi Jobs,2 to 6 Yrs,,Maharashtra,"['Pumps motors', ' valves', '']",posted 2 months ago
Van Sales Representative,RAKESH MARBLE & GRANITE,2 to 6 Yrs,,All India,"['marketing communication', ' building materials', 'van supply sales', ' sanitaryware division']",posted 2 months ago
Admission Consultant,EduNirvana,1 to 5 Yrs,,All India,"['Microsoft Office Written Communication', ' Verbal Communication', ' Sales', ' Administrative Skills', 'Multitasking', ' Organizational Skills']",posted 2 months ago
Digital Marketing Intern,Digi Sidekick,0 to 4 Yrs,,Noida,"['Adobe Illustrator Photoshop', ' Indesign', '']",posted 2 months ago
PhD Position in Nanofluid Heat Transfer with CFD & ML,Vellore Institute of Technology - Chennai Campus,0 to 4 Yrs,,Chennai,"['Computational Fluid Dynamics Machine Learning', ' Predictive Modeling', ' Thermal Management', ' Energy Systems', ' ANSYS Fluent', ' OpenFOAM', ' MATLAB', ' C Programming', ' Verbal Communication', ' Written Communication', 'Multiphase Turbulent Modeling', ' Nanoparticle Shape Effects', ' CFD Simulations', ' Convective Heat Transfer', ' Nanoparticle Dispersion', ' ML Techniques', ' Datadriven ML Frameworks', ' Heat Transfer Characteristics', ' Cooling Technologies', ' Python Programming']",posted 2 months ago
Sales BDM (Female),welconcareer,3 to 7 Yrs,,All India,"['communication skills teamwork', 'collaboration skill', ' relationship building with clients', ' negotiation ', ' closing', ' market ', ' industry knowledge']",posted 2 months ago
Radiography Operator,Miracle Services,0 to 3 Yrs,,Punjab,"['Radiography Quality Control', ' Image Analysis', ' Machine Maintenance', ' Record Keeping', ' Collaboration', 'Materials Science', ' Xray Inspection', ' Radiation Safety Protocols']",posted 2 months ago
Customer Service Specialist,Sure step consultancy,1 to 5 Yrs,,Indore,"['Customer Support Communication Skills', '']",posted 2 months ago
Electrical Sales Manager,SyamaDynamic IT Services Pvt. Ltd.,3 to 7 Yrs,,Kochi,"['Electrical Sales Business Development', ' Project Management', ' Client Interaction', ' Market Analysis', ' Vendor Management', ' Project Delivery', ' Leadership', ' Strategic Planning', ' Communication', ' Negotiation', ' Relationship Building', ' Analytical Skills', 'Marketing Strategies', ' Subcontractor Management', ' Problemsolving', ' Market Trends Analysis']",posted 2 months ago
Inside Sales Specialist,Fidelis Corporate Solutions Pvt Ltd,2 to 6 Yrs,,Karnataka,"['Inside Sales Cold Calling', ' Lead Generation', ' Prospecting', ' Networking', ' CRM Management', 'Product Presentations']",posted 2 months ago
Operations Intern,MyOperator,0 to 4 Yrs,,Noida,"['operations Excel', 'telecom systems', ' cloud platforms', ' Google Workspace', ' reporting software']",posted 2 months ago
Student Admissions Officer,Veloces Consulting Services Private Limited,2 to 6 Yrs,,Pune,"['Sales Admissions', ' Networking', ' Presentation Skills', 'Student Recruitment']",posted 2 months ago
Junior/Senior Accountant,Jyoti HR,2 to 6 Yrs,,All India,"['Accounting Tally', ' MS Word', ' Excel', ' Google sheets', ' Internet', ' Communication skills', 'Mail drafting']",posted 2 months ago
Delivery Boy,VIHU,0 to 3 Yrs,,Noida,"['Customer Service Delivery', ' Communication Skills', ' Navigation', 'Organizational Skills']",posted 2 months ago
Customer support- blended process,thinkbiz consulting,0 to 3 Yrs,,Maharashtra,"['Customer Service Communication', ' Interpersonal Skills', ' Basic Computer Knowledge', 'Comprehension']",posted 2 months ago
Social Media Content Creator (Intern),UpStrive,0 to 4 Yrs,,All India,"['Social Media Management Content Creation', ' Analytics', ' Graphic Design', ' Written Communication', ' Verbal Communication', ' Team Collaboration', ' Monitoring Tools', 'Fastpaced Environment', ' Social Media Scheduling']",posted 2 months ago
Customer Service Executive - E Commerce,Richfeel Health & Beauty Pvt Ltd,1 to 13 Yrs,,Maharashtra,"['Customer Support Custom Orders', ' Strong communication skills', 'Online Reputation Management ORM', ' Feedback  Review Collection', ' Order Confirmation', ' Logistics Tracking', ' NDR Management', ' Return Rate Monitoring', ' Proficiency in handling customer interactions', ' Basic knowledge of Excel', ' Problemsolving attitude', ' Ability to multitask', ' Fluency in English ', ' Hindi']",posted 2 months ago
Junior Research Fellow,IGNITE-Innovation  Group for Networked Intelligent Transportation System Design and Experimentation,0 to 4 Yrs,,Gandhinagar,"['Wireless communication Java', ' Android Application Development', ' Probability', ' Statistics', ' Graph theory', ' Data analysis', ' Machine learning', ' Python', ' Communication skills', 'CC', ' Routing algorithms', ' Scheduling problems', ' IoT systems', ' GNSSIRNSS NavIC', ' Vehicular communication protocols', ' Documentation skills']",posted 2 months ago
Frontend Developer,Digital Innovations,0 to 4 Yrs,,Uttar Pradesh,"['HTML5 CSS3', ' JavaScript', 'Reactjs']",posted 2 months ago
Accountant,Tasrass Group Of Companies,1 to 5 Yrs,,All India,"['Accounting Tally', ' MS Excel', ' VLOOKUP', ' Pivot tables', ' General ledger', ' Analytical skills', 'Attention to detail']",posted 2 months ago
Desktop Support Engineer,Progenesis Fertility Center,5 to 9 Yrs,,All India,"['hardware troubleshooting IT security policies', ' TCPIP', ' DNS', ' DHCP', ' hardware troubleshooting', ' system administration', ' cloud services', ' analytical skills', 'SOPHOS firewall management', ' network policy implementation', ' network security protocols', ' data backup ', ' disaster recovery protocols', ' VLANs', ' VPNs', ' backup solutions', ' cybersecurity measures', ' problemsolving skills']",posted 2 months ago
MBA Fresher (Male),Capital Placement Services,0 to 5 Yrs,,Haryana,"['Marketing Executive Marketing Coordinator', ' Branch Sales Manager', ' Sales Executive', ' Field Executive', ' Field Officer']",posted 2 months ago
Female Nutritionist,Pink FitnessOne private limited,1 to 6 Yrs,,Chennai,"['Record maintenanceDiet Consultation', ' Preparing diet chart', ' Prescribing diet', ' Package promotion', ' Maintaining rapport with customers', ' Providing information', ' Conducting Trim Forum', ' Maintaining attendance', ' Taking ownership for Trim Clients', ' Preparing Trim Charts']",posted 2 months ago
Dental Assistant 2,The University of Toledo,1 to 5 Yrs,,Agra,"['Customer service Performance improvement', 'Clinical competency', ' Radiology License', ' Basic Life Support']",posted 2 months ago
Digital Marketing Manager/Executive,Capital Placement Services,2 to 8 Yrs,,Haryana,"['Google Analytics Omniture', ' WebTrends', ' Digital Advertising', ' Social Media', 'NetInsight', ' SEMRush', ' Google Ads', ' Digital Marketing Manager', ' Digital Marketing SR Executive']",posted 2 months ago
Autoparts Sales Specialist,OnlineInfatuation,0 to 3 Yrs,,All India,"['international sales communication skills', 'auto spare parts sales', ' client relationships', ' sales targets']",posted 2 months ago
Social Media Manager,Homebagh,0 to 4 Yrs,,Gujarat,"['Video Editing MS Excel', 'Canva', ' Graphic Editing']",posted 2 months ago
Tosca Engineer,Movate,3 to 7 Yrs,,Chennai,"['Azure DevOps  GitLab', 'Tosca Test suite', ' Test Automation Strategy', ' CICD Jenkins', ' AgileScrum', ' API Testing RESTSOAP', ' Test Data Management']",posted 2 months ago
Client Service Representative,Wellness Vibe,0 to 3 Yrs,,Maharashtra,"['Communication Skills Product Knowledge', ' Negotiation Skills', 'Tech Friendly', ' Customer Relationship Management CRM', ' Time Management ', ' Organizational Skills', ' ProblemSolving Skills', ' SelfMotivation', ' CustomerCentric Approach', ' Ethical Conduct']",posted 2 months ago
Pre Sales,ITI Finance Limited,0 to 4 Yrs,,Maharashtra,"['Customer ServiceGood Communication', ' Ability to build ', ' maintain client relationships', ' Proficiency in preparing proposals ', ' presentations']",posted 2 months ago
Business Associate (Female),Capital Placement Services,2 to 6 Yrs,,Haryana,"['Business Associate Event Coordinator', ' Event Executive', ' Corporate Executive']",posted 2 months ago
Graphics Designer,Synergic BPO,1 to 5 Yrs,,Kolkata,"['Adobe Photoshop Illustrator', ' CorelDRAW', 'Canva']",posted 2 months ago
US Shift,Adeeba e Services Pvt. Ltd.,0 to 3 Yrs,,Kolkata,"['Customer Service Technical Support', ' Inbound Voice Process', ' Router', ' Antivirus', 'Printer', ' Sales Skills']",posted 2 months ago
BDA FRESHERS (NIGHT SHIFT),MARCTORY,0 to 4 Yrs,,Delhi,"['Excellent verbal  written communication skills in English', ' Strong interpersonal ', ' relationshipbuilding skills', ' Ability to work independently ', ' in a team environment', ' Goaloriented ', ' selfdriven with a passion for achieving targets', ' Basic knowledge of sales processes a willingness to learn', ' Comfortable working in a fastpaced', '  dynamic environment']",posted 2 months ago
Land Surveyor,Edspired.Tech,3 to 7 Yrs,,Kanpur,"['autocad bridge', ' gps', ' topographic surveys', ' gis', ' leveling', ' surveying', ' total station', ' analytical skills', 'setting out methods', ' problemsolving skills', ' surveying principles']",posted 2 months ago
Field Operations Manager - Healthcare Industry,REJUVENT GREENTECH,3 to 7 Yrs,,Hyderabad,"['leadership management', ' travel', ' oversight', ' communication', 'pharma industry', ' field operation']",posted 2 months ago
Caller / Client Coordinator,Madras miles,0 to 4 Yrs,,All India,"['Coordination skills Customer service', ' Calling', 'Tamil fluency', ' Basic laptop usage', ' Good communication skills']",posted 2 months ago
Technical Support Specialist,Protocolzone,5 to 9 Yrs,,Ahmedabad,"['Windows Linux', ' macOS', ' web technologies', ' ticketing tools', 'English communication skills', ' IT systems', ' problemsolving', ' multitasking']",posted 2 months ago
Account Executive (Freshers) (Rajkot Only),Khushbu Auto Finance Ltd.,0 to 4 Yrs,,Rajkot,"['Sales Communication', ' Negotiation', ' Account Management', ' Customer Relationship Management', '']",posted 2 months ago
Sales Operations Manager - Retail,Weekday AI (YC W21),5 to 9 Yrs,,Chennai,"['Customer Service Sales Management', ' Team Management', ' Inventory Management', ' Visual Merchandising', ' Brand Management', ' Marketing Strategy', ' Leadership Skills', ' Interpersonal Skills', ' Communication Skills', 'Retail Trends Analysis']",posted 2 months ago
Learning and Evaluation Officer for National Health Research Priority Project,Indian Institute of Management Udaipur,3 to 7 Yrs,,Udaipur,"['Data Collection Data Analysis', ' Interpretation', ' SPSS', ' R', ' NVivo', ' English Language', ' Written Communication', ' Interpersonal Skills', ' Networking Skills', 'Research Methodologies', ' Public Health System', ' National Health Programs', ' Analytical Softwares', ' Hindi Language', ' Intervention Research', ' Health Systems Research', ' Organizational Skills']",posted 2 months ago
Field Marketing Executive,Yenwin Technology,0 to 4 Yrs,,Erode,"['Field Marketing Communication', '  English', ' Interpersonal Skills', ' Time Management', 'Language Skills Hindi']",posted 2 months ago
Junior Admin Executive,Flexi Sourcing Private Limited,1 to 5 Yrs,,Karnataka,"['PresentationsAnswering phone calls', ' Managing communications', ' Scheduling meetings', ' Maintaining records', ' Filing systems', ' Preparing reports', ' Supporting other departments', ' Supporting employees']",posted 2 months ago
Finance Manager (Financial Control),Revolut,2 to 6 Yrs,,All India,"['Financial Control Accounting', ' IFRS', ' Financial Reporting', ' Financial Services', ' Analytical Skills', '']",posted 2 months ago
Product Design Intern,Stimuler,0 to 4 Yrs,,Karnataka,"['After EffectsFigma', ' Sketch', ' Rive', ' Lottie', ' ProtoPie']",posted 2 months ago
Salesforce Engineer,Stigasoft,3 to 7 Yrs,,Haryana,"['Salesforce SDLC', ' Microsoft SQL Server', ' SQL Queries', 'Apex', ' Visual Flows', ' Apex Triggers', ' CNET']",posted 2 months ago
Lab Sr Tech,The University of Toledo,1 to 5 Yrs,,Agra,"['Clinical Chemistry Immunology', ' Blood Bank', ' Coagulation', ' Hematology', ' Microbiology', 'Medical Laboratory Scientists', ' Medical Technologists', ' Clinical Microscopy']",posted 2 months ago
Quality Manager BPO,Filant (India) Healthcare,5 to 9 Yrs,,Maharashtra,"['Quality Assurance Compliance', ' Process Improvement', ' Training', ' Analytical Skills', ' Communication', ' Leadership', ' QA Tools', ' Process Automation', 'ProblemSolving', ' Client Audits', ' Quality Frameworks']",posted 2 months ago
Title Not provided,Dolphin Placements,5 to 10 Yrs,,Delhi,"['Leadership Data analysis', ' Logistics', ' Inventory management', ' MMS', ' Microsoft Excel', 'Social skills', ' Verbal ', ' written communication', ' Brain Powder', ' Any Inventory Software', ' GRN  Stock Transfer Note', ' Inventory Management LIFO', '  FIFO  ABC Analysis', '  Par Stock Level', '  Critical Stock Level']",posted 2 months ago
Field Worker,NetAmbit,0 to 4 Yrs,,Palghar,"['Sound Box QR Code Scanner', ' Merchant Account Opening']",posted 2 months ago
Business Manager - Used Vehicle Loan,Talent Giants Consultancy Services,1 to 5 Yrs,,Ujjain,"['sales field sales', ' b2b', ' loans', ' commercial vehicle', ' car loans', 'sales ', ' negotiation skill', ' used commercial vehicle experience']",posted 2 months ago
Machine Operator trainee,Yashaswi Group,0 to 4 Yrs,,Bhopal,"['Machine Operator ITI', ' Technical Trade']",posted 2 months ago
Odoo & Python Developer,DECG international,2 to 6 Yrs,,Bhopal,"['Odoo development Python programming', ' Odoo framework', ' Python programming concepts']",posted 2 months ago
Founding Product Designer,Young Designers India,3 to 7 Yrs,,All India,"['Product Design User Research', ' Hiring', 'Design Ops']",posted 2 months ago
Machine Operator/Process Worker,Stalwarts Servicios,0 to 6 Yrs,,Tiruppur,"['Diploma Mechanical', ' Chemical', 'Process Operators', ' ITI', ' BSc Chemistry']",posted 2 months ago
Plant Operator,Affable Jobs,1 to 5 Yrs,,Karnataka,['ITI Fitter Electrical'],posted 2 months ago
HR & Business Development Executive,Syscon Energy Conservation Solutions Pvt. Ltd.,2 to 6 Yrs,,Pune,"['MS OfficeComputer Knowledge', ' Good Communication Skills', ' Good Followup Skills', ' Multitasking']",posted 2 months ago
Machine Shop Supervisor,Kovilpatti Lakshmi Roller Flour Mills Limited,3 to 7 Yrs,,Coimbatore,['Machine shop supervision'],posted 2 months ago
Repair and Maintenance Executive,Transact Foods Limited,1 to 5 Yrs,,All India,"['Good communication skills Good physical strength ', ' stamina', ' Ability to read technical instruction manuals', ' Time management skills', ' Problem finding skills', ' Problemsolving skills', ' Technical ', ' mechanical skills', ' Eye for detail', ' Professional attitude ', ' working habits', ' Ability to maintain focus', ' Ability to use basic tools', ' Ability to use measurement instruments ', ' tools']",posted 2 months ago
Senior Accountant/ CA Semi Qualified,Numbro Consulting Private Limited,2 to 6 Yrs,,Hyderabad,"['ExcelUnderstanding of business', ' Drafting of reports ', ' making presentations', ' Good with Microsoft suites like Word', ' PPTs', ' Communication with management', ' Understanding technology ', ' technology enablement']",posted 2 months ago
Creative Head & Team Developer,Vishi Prem Workz,5 to 9 Yrs,,All India,['PhotoshopFigma'],posted 2 months ago
HVAC TECHNICIAN,Zenith Talent Hub,1 to 5 Yrs,,Ghaziabad,"['air conditioning troubleshooting', ' hvac maintenance', ' team collaboration', ' maintenance', ' hvac', 'blueprints reading', ' hvac systems installation', ' diagnostic equipment', ' hvac repair', ' problemsolving skills', ' schematics interpretation']",posted 2 months ago
US Tele Sales Agents (Voice Process),OnlineInfatuation,0 to 4 Yrs,,All India,"['International SalesAuto Spare Parts Sales', ' Excellent communication in English']",posted 2 months ago
Attendant/GDA,Zorgers-Home Healthcare,1 to 5 Yrs,,Delhi,"['Basic Care Personal Hygiene', ' Companionship', ' Diaper Care', ' Medication', ' Support in Movement']",posted 2 months ago
Corporate Sales Executive For Telecom Company in Manesar,Capital Placement Services,1 to 7 Yrs,,Haryana,"['Corporate Sales Electronics', ' Telecommunication', ' IBS', 'Fibre Opticals', ' Patch Cords']",posted 2 months ago
Billing Representative,Navrasa Fine Jewel Pvt. Ltd.,1 to 5 Yrs,,All India,"['GST TDS', ' numerical ability', ' communication', 'Tally Prime software', ' organizational skills']",posted 2 months ago
Chat Representative,ARRISE BPO SOLUTIONS PVT LTD,0 to 4 Yrs,,All India,"['Punjabi Gujarati', '']",posted 2 months ago
Bakery Assistant,University of York - Computer Science,1 to 5 Yrs,,Nagpur,"['Baking Food preparation', ' Teamwork', 'Cookery', ' Working in a commercial kitchen']",posted 2 months ago
Business Development Representative,Vaave,0 to 3 Yrs,,Hyderabad,"['Prospecting Research', ' Relationship Building', 'Qualification', ' Outreach', ' Good Communication', ' Persuasive Skills', ' Presenting', ' Consultative Sales Methodology']",posted 2 months ago
Travel sales,Webvio technologies Pvt Ltd,2 to 6 Yrs,,Delhi,"['Travel Sales English', ' Spanish', 'PPC Calls']",posted 2 months ago
Customer Support Engineer Medical,Naukripay group,1 to 5 Yrs,,Ahmedabad,"['electronics Computer', ' communication skills', 'Installation  maintenance', ' Medical Imaging equipments', ' xray machine', ' computed radiography systems', ' flow rate Injectors', ' Ultrasound Machine']",posted 2 months ago
Maintenance Head Multi Axis Machine Shop,Profile HR Consultants Pvt Ltd,5 to 9 Yrs,,Maharashtra,"['CNC Maintenance', ' Troubleshooting', ' Mechanical', ' Mechatronics', ' PLCs', ' Predictive Maintenance', ' Preventive Maintenance', 'VMC', ' HMC', ' Sliding Head', ' Swiss Lathe', ' Preventative Maintenance']",posted 2 months ago
HR & Admin Executive,SAVITHREE INFRASTRUCTURE PVT LTD,2 to 6 Yrs,,Karnataka,"['Site coordination Project management', ' Supervision', ' Communication skills', 'Construction industry']",posted 2 months ago
Legal and Commercial Matters Assistant,Infra Legal Advisor,0 to 4 Yrs,,Kolkata,"['Legal drafting Client communication', ' Commercial activities', ' Documentation', ' MS Office', '']",posted 2 months ago
Legal Document Reviewers,DATAmundi,0 to 4 Yrs,,Karnataka,"['TranslationBahasa', ' Legal document review', ' Language proficiency']",posted 2 months ago
Associate Consultant,Veritas Consultants,1 to 5 Yrs,,Delhi,"['RecruitmentInteracting with clients', ' Candidate shortlisting', ' Interviews', ' Entrepreneurial mindset']",posted 2 months ago
Territory Manager (AI Lab & Publishing),Arque Technologies,0 to 4 Yrs,,Noida,"['Strategic Thinking Relationship Building', ' Market Penetration', ' Relationship Management', ' Product Promotion', 'Educational Advancement', ' Travel ', ' Representation']",posted 2 months ago
Factory Supervisor,Capital Placement Services,1 to 5 Yrs,,Haryana,"['Pharmaceutical Production Sales', ' Quality', ' Pharma', '']",posted 2 months ago
Associate - Campus Support,Kalvium,0 to 4 Yrs,,Karnataka,"['Data Management Process Improvement', ' Troubleshooting', ' Data Analysis', ' Communication Skills', ' Interpersonal Skills', ' Excel', ' Google Sheets', 'Ticketing System', ' Attention to Detail']",posted 2 months ago
Painting Supervisor,Future Technologies & Services training and placement,1 to 10 Yrs,,All India,"['Team management Quality control', ' Project coordination', ' Inventory management', 'Painting supervision', ' Training ', ' mentoring']",posted 2 months ago
Sales Officer,Moksa Expect Miracles Foods LLP,5 to 9 Yrs,,Delhi,"['Sales B2B Sales', ' Channel Sales', ' Relationship Management', ' Market Knowledge', ' Communication Skills', ' Negotiation Skills', '']",posted 2 months ago
Electrical Technician,AL RAZ International Business Links,0 to 3 Yrs,,Malappuram,"['drillingmeching', ' pipeing']",posted 2 months ago
Angular Developer,Tesk Training Consultancy,2 to 6 Yrs,,Ahmedabad,"['SQL angular', ' HTML', ' CSS', ' JavaScript', 'NET core', ' J Query', ' webapi']",posted 2 months ago
"MIS (Management Information System) Coordinator - Production, Data Analyst",Gouriwala textiles pvt ltd,2 to 6 Yrs,,Jaipur,"['MIS Management Information System', ' Project Management', ' Production Planning', ' Microsoft Excel', ' Power BI', ' Analytical Skills', ' Communication Skills', 'Data Analyst', ' Production Processes', ' Organizational Skills', ' ProblemSolving Skills']",posted 2 months ago
Public Relations Officer,Nakshatra Skill Development Campus PVT.LTD,1 to 5 Yrs,,Maharashtra,"['Marketing Sales', '']",posted 2 months ago
Video Editor For Social Media,ZK Marketing Solution,2 to 6 Yrs,,Chennai,"['Davinci Resolve Storytelling', 'Video Editing In Premiere Pro', ' Motion Graphics In After Effects', ' Creative Thinking']",posted 2 months ago
Laser machine operator,Gurucharan INDUSTRIES,0 to 4 Yrs,,Karnataka,['LASER CUTTINGOPERATOR'],posted 2 months ago
Medical Coders,Cigma Medical Coding Academy,2 to 6 Yrs,,Kochi,['CPC certification OP Coding'],posted 2 months ago
Front Office Admin,Lammy studio,1 to 5 Yrs,,All India,"['Customer Service Appointment Scheduling', ' Inventory Management', ' Communication Skills', 'Administrative Duties', ' Promotions ', ' Marketing']",posted 2 months ago
Order Processing Executive,KDH Biomedicals,2 to 6 Yrs,,Maharashtra,"['Communication Analytical Skills', ' Microsoft Office', ' Order Processing', 'Attention to Detail', ' Organizational Skills']",posted 2 months ago
Brand Visual Identity Designer,Shapercult,2 to 6 Yrs,,Haryana,"['branding typography', ' motion graphics', 'campaign', ' digital work', ' photovideo direction']",posted 2 months ago
Business Development and Sales Executive,ClevDoc Platforms Inc.,2 to 6 Yrs,,Haryana,"['Business Development Sales', ' Software Sales', ' Relationship Management', ' Market Intelligence', ' Client Engagement', ' Collaboration', ' Regulatory Compliance', 'Legal Sector', ' Banking Sector']",posted 2 months ago
Office Administrator,NetEdge Computing Solutions Pvt. Ltd.,3 to 7 Yrs,,Noida,"['housekeeping management training', ' reporting', ' time management', 'cleaning methods', ' handling chemicals safely', ' sanitizing environment', ' knowledge of cleaning chemicals', ' attention to detail', ' physical stamina']",posted 2 months ago
Export Sales Manager,Ajay Enterprises,3 to 7 Yrs,,Ambernath,"['Export Management International Trade', ' Market Research', ' Contract Negotiation', ' Data Analysis', ' Logistics Management', ' Supply Chain Management', ' Communication Skills', ' Negotiation Skills', ' Adaptability', 'Microsoft Office Suite', ' CRM Systems', ' Export Documentation Software', ' Trade Compliance Tools', ' ProblemSolving']",posted 2 months ago
AutoCAD Designer with Solar Structural experience,Namma Solaar,1 to 5 Yrs,,Karnataka,"['AutoCAD 3D modeling', ' Drafting', ' Structural analysis', ' Project management', 'Solar Structural experience', ' CAD design', ' 2D modeling', ' Engineering principles', ' Materials science', ' Problemsolving']",posted 2 months ago
Senior Office Administrator,Adrianaa services,2 to 6 Yrs,,Noida,"['Office Administration Operations', ' MS Office', ' Office Equipment', ' Advance Excel', ' VLookup', 'HR Skills']",posted 2 months ago
"Sales / BD (Building Material) - Gachibowli , Hyd",RelevPro HR Services LLP,2 to 6 Yrs,,All India,"['Sales Business Development', ' Project Sales', ' B2B Sales', '']",posted 2 months ago
UI/UX Designer,Gotoz Techno Solution,1 to 5 Yrs,,Erode,"['HTML CSS', ' JavaScript', 'React', ' Adobe XD', ' Sketch', ' Figma']",posted 2 months ago
Business Development Executive Intern,Hansraj Ventures,0 to 4 Yrs,,Kolkata,"['Business Development Sales Strategies', ' Analytical Skills', ' Communication Skills', 'Multitasking']",posted 2 months ago
Electrician,SR Group,2 to 6 Yrs,,Ludhiana,"['Cold Rolling millElectrician', ' ITI Electrician']",posted 2 months ago
International Sales Associates,Policybazaar.com,2 to 6 Yrs,,Haryana,"['Sales Operations Market Research', ' Client Relationship Management', ' Communication Skills', ' Negotiation Skills', 'Promoting Insurance Products']",posted 2 months ago
Reel Creator,Digital Night owl Pvt Ltd,0 to 3 Yrs,,Noida,"['Video Editing Content Creation', ' Creativity', ' Communication Skills', 'Social Media Platforms']",posted 2 months ago
Lead Backend Developer,SourcingXPress,4 to 8 Yrs,,Pune,"['Python Java', ' C', ' Microservices', ' Distributed Systems', ' AWS', ' Azure', ' GCP', ' Docker', ' Git', ' Data Structures', ' Algorithms', ' Design Patterns', 'Nodejs', ' REST APIs', ' Cloud Platforms', ' CICD Pipelines', ' DevOps Tools']",posted 2 months ago
Tele Marketing Executive,Bankvallet,1 to 5 Yrs,,Madurai,"['Good Communication skills Positive Attitude', ' Target Oriented']",posted 2 months ago
Kitchen and Bath Salesperson,Tranceform.,2 to 6 Yrs,,Hyderabad,"['Customer service skills Product knowledge', ' Communication skills', ' Interpersonal skills', 'Sales experience']",posted 2 months ago
CCTV Technician,Helpmate solution,1 to 5 Yrs,,Ghaziabad,"['CCTV installation Electrical systems', 'CCTV maintenance', ' Diagnosing technical issues', ' Surveillance equipment', ' Networking components']",posted 2 months ago
Salesforce Customer Integration/Solutions Engineer,Uplers,3 to 7 Yrs,,All India,"['Communication Skills Go', ' Python', ' Java', ' Restful APIs', ' Visualforce', ' Agile', ' AWS', ' SQL', 'Problemsolving', ' Salesforce Configuration', ' Lightning web components', ' Salesforce integration', ' Apex']",posted 2 months ago
Accounts Receivable Executive,Activity next business solutions,2 to 6 Yrs,,All India,"['Coordination Credit Control', ' Reporting', ' Accounting Software', ' Communication Skills', ' Time Management', 'Accounts Receivable Management', ' Financial Closing', ' Excel Skills']",posted 2 months ago
Academic Counsellors,Academic Shaala,0 to 4 Yrs,,Lucknow,"['Strong communication skills Sales', ' Education', 'Convincing skills']",posted 2 months ago
Pathology Laboratory Technician,Desirous Global Consulting,2 to 6 Yrs,,Pune,"['Blood collection Phlebotomy', 'Laboratory tests', ' Valid driving license']",posted 2 months ago
Full Stack Developer,Nao Medical,3 to 7 Yrs,,All India,"['HTML CSS', ' JavaScript', ' Python', ' Ruby', ' Java', ' MySQL', ' PostgreSQL', ' MongoDB', ' API Development', ' Git', ' Angular', ' Express', ' Django', ' Ruby on Rails', 'Nodejs', ' React', ' Vue']",posted 2 months ago
Regional Business Development Head - Hospital Vertical,TechXR Innovations Private Limited,5 to 10 Yrs,,Delhi,"['Business Development Sales', ' Relationship Building', ' Sales Management', ' Negotiation', ' Networking', '']",posted 2 months ago
QC Engineer-5,Spire Business Solutions,0 to 5 Yrs,,Rajkot,"['automotive cnc', ' casting', ' forging', ' machining', 'QC Instrument', ' Drawing knowledge', ' Engineering product', ' machineshop', ' gearshop', ' productionsupervisor', ' productionengineer', ' automotiveparts', ' qcengineer', ' qualitycontrol', ' mechnicalengineer', ' vmc']",posted 2 months ago
Wood Craving - CNC Machine Operator,KAVERY TIMBER COMPANY PVT LTD,1 to 5 Yrs,,All India,"['Customer SatisfactionWooden Doors Carving', ' System Software Design', ' CNC Machine Operation']",posted 2 months ago
Staff Compliance & Ethics Analyst,"Netreo, A BMC Company",2 to 6 Yrs,,Pune,"['Management Reporting Learning Management Systems', ' Content Management Systems', ' Project Management', ' Relationship Development', ' Legal Compliance', ' Regulatory Compliance', 'Compliance  Ethics HelpLine', ' Corporate Policies', ' Compliance Training Materials', ' Conflict of Interest Survey', ' MS Office Applications', ' Compliance Applications', ' Certified Compliance  Ethics Professional CCEP', ' Listening Skills', ' Oral Communication Skills', ' Written Communication Skills']",posted 2 months ago
Internal Audit Associate,Radha Marketing,2 to 7 Yrs,,Thane,"['Inventory Management Auditing', ' Stock Management', ' Documentation', ' Reporting', ' Collaboration', 'System Updates', ' Discrepancy Investigation', ' Health  Safety Compliance']",posted 2 months ago
Account Executive - ITR GST Filing,FileTaxOnline.in,1 to 5 Yrs,,Vadodara,"['Tax AuditsInter CA', ' CS', ' CMA Inter', ' M Com', ' ITR Filing Experience', ' Direct Taxation', ' Capital Gains Computation', ' Futures  Options FO Taxation', ' Indian Direct Tax Laws', ' Tax Software Knowledge']",posted 2 months ago
Sales & Marketing Engineer- West India for Pumps & Mixers,Fluid Process Solutions,2 to 6 Yrs,,Maharashtra,"['Customer Service Sales Management', ' Training ', ' Development', ' Analytical Skills', ' Market Research', 'Excellent Communication', ' Process Equipment Industry Knowledge', ' International Sales ', ' Marketing', ' Food Industry Knowledge', ' Pharma Industry Knowledge', ' Chemical Industry Knowledge', ' AgroChemical Industry Knowledge', ' Paints  Coatings Industry Knowledge']",posted 2 months ago
